model_id,fom,variables,aic,null_aic,delta_aic,null_deviance,residual_dev,dev_explained,MCFaddenPseudoR2,spatial_auc,training_auc,test_auc,toc_auc,number_of_variables
235,0.473915199603273,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,predios_lingue1",1031.29106044751,1008.5542341485,-22.7368262990153,1122.87867934041,1019.29106044751,103.587618892893,0.0922518352149511,0.674426376552529,0.703781832814091,0.688781756963575,0.818677160843602,5
236,0.480748931188133,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,predios_lingue1",1031.40348228211,1008.5542341485,-22.8492481336143,1122.87867934041,1013.40348228211,109.475197058294,0.0974951248719063,0.680892754371178,0.713640326543552,0.70166309560249,0.763732418440792,8
237,0.485369449511482,"mat_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15",1031.56575245775,1008.5542341485,-23.0115183092557,1133.98878739607,1019.56575245775,114.423034938317,0.100903144907686,0.69886592109783,0.711096896838254,0.7198,0.873379827245995,5
238,0.479597138776793,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue,predios_lingue1",1031.58215468635,1008.5542341485,-23.0279205378545,1122.87867934041,1013.58215468635,109.296524654054,0.097336004917518,0.680748117284286,0.713908584876327,0.706764615855525,0.820115536230047,8
239,0.488465848268782,"mat_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15",1031.6058500271,1008.5542341485,-23.0516158785977,1133.98878739607,1019.6058500271,114.382937368975,0.10086778514947,0.700140300336928,0.71277670506513,0.72,0.871167043799926,5
240,0.47057422852248,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,predios_lingue1",1031.71634560394,1008.5542341485,-23.1621114554387,1122.87867934041,1017.71634560394,105.16233373647,0.0936542261166126,0.672177220204192,0.703647703647704,0.682710947862463,0.754355802956907,6
241,0.47951888195434,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_plant87_lingue,predios_lingue1",1031.76872745648,1008.5542341485,-23.214493307983,1122.87867934041,1013.76872745648,109.109951883925,0.0971698491488128,0.679047782431778,0.713902488096037,0.700183654729109,0.776671053125196,8
242,0.48779526327316,"mat_lingue_87,dis_urbano_lingue,dis_hid_lingue,pen_lingue15",1031.89419572892,1008.5542341485,-23.339961580421,1133.98878739607,1021.89419572892,112.094591667152,0.0988498236605584,0.697025340533382,0.707175351653804,0.72015,0.867462612239899,4
243,0.496875895130803,"mat_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,pen_lingue15",1031.91217419355,1008.5542341485,-23.3579400450499,1133.98878739607,1021.91217419355,112.076613202523,0.0988339694785518,0.698615177694762,0.709817612281132,0.721525,0.863938917456846,4
244,0.486051780440931,"mat_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,dis_plant87_lingue",1031.94414677892,1008.5542341485,-23.389912630427,1133.98878739607,1019.94414677892,114.044640617146,0.100569460549096,0.699649440104498,0.710756152820703,0.7185,0.873742448377289,5
245,0.489575502430712,"bn_lingue_87,dis_comunidades_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1031.95408968591,1008.5542341485,-23.3998555374123,1122.87867934041,1019.95408968591,102.924589654496,0.0916613624857099,0.690115803419735,0.704531736789801,0.739031731455974,0.93994376861965,5
246,0.485392647752439,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1032.02872314795,1008.5542341485,-23.4744889994536,1122.87867934041,1018.02872314795,104.849956192455,0.0933760326218369,0.684463495132636,0.702873412550832,0.728956228956229,0.809943653053561,6
247,0.478548265237277,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_plant87_lingue,predios_lingue1",1032.04921894079,1008.5542341485,-23.4949847922926,1122.87867934041,1016.04921894079,106.829460399616,0.0951389160424427,0.677310109689479,0.710579742837807,0.704545454545455,0.776838004995927,7
248,0.496263620088037,"dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1032.1502594682,1008.5542341485,-23.5960253196988,1122.87867934041,1016.1502594682,106.72841987221,0.0950489325658078,0.699836913668508,0.70451344644893,0.729287827772676,0.884470079778868,7
249,0.494871383799042,"dis_comunidades_lingue,dis_urbano_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1032.21354147492,1008.5542341485,-23.6593073264225,1122.87867934041,1018.21354147492,104.665137865486,0.0932114393043489,0.698994751909181,0.702794154407058,0.730129578614427,0.880797768822657,6
250,0.4781851865667,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_hid_lingue,dis_plant87_lingue,predios_lingue1",1032.58632788677,1008.5542341485,-24.0320937382699,1122.87867934041,1014.58632788677,108.292351453639,0.0964417202375335,0.677292535132844,0.710884581852324,0.705667789001122,0.774459410631281,8
251,0.488759419327976,"mat_lingue_87,dis_urbano_lingue,pen_lingue15,dis_plant87_lingue",1032.7379952126,1008.5542341485,-24.1837610641037,1133.98878739607,1022.7379952126,111.250792183469,0.0981057250477139,0.696732887467312,0.706996012697198,0.718275,0.870142970070204,4
252,0.484604313851591,"bn_lingue_87,dis_comunidades_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1032.77176475427,1008.5542341485,-24.2175306057754,1122.87867934041,1018.77176475427,104.106914586133,0.0927143034252701,0.686232805808495,0.704434188305156,0.735460667278849,0.954488053664674,6
253,0.475978385357663,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,predios_lingue1",1032.81590137435,1008.5542341485,-24.2616672258546,1122.87867934041,1018.81590137435,104.062777966054,0.0926749967567125,0.674639442894252,0.703739155352059,0.690592796653403,0.819313777683098,6
254,0.478975915605096,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1032.91683307408,1008.5542341485,-24.3625989255788,1122.87867934041,1016.91683307408,105.961846266329,0.09436624651968,0.680662752353755,0.703062412739832,0.726430976430976,0.827153737114498,7
255,0.47895751694968,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue,predios_lingue1",1032.94614958505,1008.5542341485,-24.3919154365562,1122.87867934041,1012.94614958505,109.932529755352,0.0979024108106923,0.678572778511104,0.713426939233391,0.701943679216406,0.775446727566371,9
256,0.47402941586721,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_plant87_lingue,predios_lingue1",1033.02379837096,1008.5542341485,-24.4695642224638,1122.87867934041,1019.02379837096,103.854880969445,0.092489850310855,0.672674631228911,0.703434316337542,0.68880726456484,0.826570363172951,6
257,0.491565826699538,"mat_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_hid_lingue,pen_lingue15",1033.02409805416,1008.5542341485,-24.4698639056612,1133.98878739607,1021.02409805416,112.964689341912,0.0996171131473951,0.698450829795981,0.710248025776986,0.72415,0.864151483985528,5
258,0.469488152478894,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,predios_lingue1",1033.08992255979,1008.5542341485,-24.5356884112966,1122.87867934041,1017.08992255979,105.788756780612,0.0942120985347707,0.672017031034849,0.704342736600801,0.684521987552291,0.752797144775998,7
259,0.495181590373871,"dis_urbano_lingue,dis_caminos_lingue,pen_lingue15",1033.1557532686,1008.5542341485,-24.6015191201041,1133.98878739607,1025.1557532686,108.833034127469,0.09597364218863,0.701595346933022,0.703797801304392,0.724975,0.889470155859078,3
260,0.487753371772531,"mat_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15",1033.19198012702,1008.5542341485,-24.6377459785176,1133.98878739607,1019.19198012702,114.796807269055,0.10123275339667,0.699451726185087,0.712633233899845,0.720475,0.870729937789591,6
261,0.494678744523161,"bn_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1033.21988435066,1008.5542341485,-24.6656502021606,1122.87867934041,1019.21988435066,103.658794989748,0.0923152223806034,0.691835648024298,0.705366995689576,0.739720436690134,0.92539117586529,6
262,0.471229376077023,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_plant87_lingue,predios_lingue1",1033.50466699958,1008.5542341485,-24.9504328510834,1122.87867934041,1017.50466699958,105.374012340825,0.0938427403419246,0.670511367194211,0.703659897208284,0.682812978267524,0.761402549057035,7
263,0.469928751371652,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,predios_lingue1",1033.5092331825,1008.5542341485,-24.9549990339981,1122.87867934041,1023.5092331825,99.3694461579103,0.0884952648814039,0.670749354753533,0.698044762560892,0.69018467503316,0.811552736811135,4
264,0.486804463439875,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1033.53291236083,1008.5542341485,-24.9786782123333,1122.87867934041,1017.53291236083,105.345766979575,0.0938175859225117,0.687278114696703,0.705049963114479,0.73201714110805,0.853327348085133,7
265,0.485350891440423,"mat_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue",1033.5651929618,1008.5542341485,-25.0109588133057,1133.98878739607,1019.5651929618,114.423594434267,0.100903638295237,0.698775530663343,0.711007227359951,0.719575,0.873748229677184,6
